location_tag,area_km2,capacity_people_p10,capacity_people_p50,capacity_people_p90,people_per_km2,crop_capacity_people,livestock_capacity_people,marine_capacity_people,freshwater_capacity_people,wild_capacity_people,apiary_capacity_people,rainfed_crop_capacity_people,irrigation_increment_capacity_people,tsetse_livestock_capacity_loss_people,cool_cereals_capacity_people,warm_cereals_capacity_people,wet_rice_capacity_people,maize_capacity_people,roots_tubers_capacity_people,tropical_perennials_capacity_people,feasible_cultivated_fraction,food_system,external_crop_source_coverage,normalized_capacity,model_version,source_manifest_hash
a_keis,19253.454310,25490,37486,51730,1.946956,32522,3859,0,0,560,545,32522,0,0,23892,8630,0,0,0,0,0.022800,wheat+sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
a_taw_bun_kut_en,3218.676726,11003,16180,22329,5.027026,0,1861,0,13285,804,230,0,0,0,0,0,0,0,0,0,0.184900,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aa_kw,10489.902140,28347,41686,57527,3.973961,0,6066,32250,0,2621,749,0,0,0,0,0,0,0,0,0,0.068800,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aabenraa,1229.231395,114744,168741,232863,137.273868,153047,4325,11369,0,0,0,148302,4746,0,153047,0,0,0,0,0,0.518400,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aaboukingon,7759.876628,697427,1025628,1415366,132.170622,1000198,17383,0,7591,378,77,919300,80898,0,0,0,0,1000198,0,0,0.396000,maize,1.000000,35,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aachen,624.129726,32771,48193,66506,77.216352,47353,816,0,0,12,11,47353,0,0,47353,0,0,0,0,0,0.395600,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aahkawiraahkata,9780.148192,367593,540578,745998,55.272989,512414,18648,0,8751,644,121,470969,41445,0,0,0,0,512414,0,0,0.144000,maize,1.000000,19,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aahkawirahkata,6503.861547,12517,18408,25402,2.830242,0,9930,0,7881,470,126,0,0,0,0,0,0,0,0,0,0.076000,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aakhoe,43158.545238,181202,266474,367734,6.174298,173539,89756,0,0,2477,702,173539,0,0,0,173539,0,0,0,0,0.076000,sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aaku,12665.047391,186082,273650,377637,21.606705,223586,50064,0,0,0,0,223586,0,0,0,0,0,223586,0,0,0.309600,maize,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aalborg,1554.926131,125233,184166,254149,118.440153,165970,5471,12724,0,0,0,160824,5146,0,165970,0,0,0,0,0,0.518400,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aalst,785.078383,70720,104000,143520,132.470409,98418,2732,0,2850,0,0,90458,7960,0,98418,0,0,0,0,0,0.518400,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aankwaahsakwa,7369.512884,945475,1390404,1918758,188.669749,1369665,12998,0,7324,345,73,1258884,110782,0,0,0,0,1369665,0,0,0.396000,maize,1.000000,48,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aarau,678.042342,39129,57543,79410,84.866739,51172,3678,0,2694,0,0,47033,4139,0,51172,0,0,0,0,0,0.309600,barley,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aarhus,2426.209638,196459,288911,398697,119.078975,270575,2566,15770,0,0,0,262185,8390,0,270575,0,0,0,0,0,0.662400,wheat,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aashbikkaashee,6630.403867,7683,11298,15592,1.704026,0,9746,0,0,1162,390,0,0,0,0,0,0,0,0,0,0.209000,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aashbiliihkupe,6633.295190,15932,23429,32332,3.531992,0,13379,0,7957,1702,390,0,0,0,0,0,0,0,0,0,0.236500,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aashise,6536.877609,12562,18473,25493,2.825994,0,9981,0,7901,465,126,0,0,0,0,0,0,0,0,0,0.032000,maize+sweet_potato,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aays,5614.516990,581332,854900,1179763,152.266076,841039,6397,0,6193,1109,162,773014,68025,0,0,0,0,691096,149943,0,0.309600,maize+sweet_potato,1.000000,29,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
aba_al_qur,4996.353462,1128,1658,2288,0.331897,0,1364,0,0,148,146,0,0,0,0,0,0,0,0,0,0.043200,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abacoa,6420.008685,512948,754335,1040982,117.497476,725195,7030,21300,0,697,113,702708,22487,0,0,0,0,548103,177092,0,0.420000,maize+cassava,1.000000,26,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abadan,3975.663823,19066,28038,38692,7.052355,478,1085,20046,6210,109,109,426,51,0,0,478,0,0,0,0,0.043200,sorghum,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
abadeh,2009.269769,354,520,718,0.259032,0,403,0,0,59,59,0,0,0,0,0,0,0,0,0,0.025800,barley+foxtail_millet,1.000000,10,carrying_capacity_1337_v2,ec0aa784663185f3409d36fe709a6dc9d03ebb445376e9f43702eca88a1f2238
