location_tag,population_capacity
a_keis,11
a_taw_bun_kut_en,64
aa_kw,69
aabenraa,81
aaboukingon,171
aachen,278
aahkawiraahkata,204
aahkawirahkata,135
aakhoe,720
aaku,258
aalborg,102
aalst,649
aankwaahsakwa,162
aarau,314
aarhus,179
aashbikkaashee,140
aashbiliihkupe,138
aashise,133
aays,135
aba_al_qur,11
abacoa,154
abadan,10
abadeh,20
abadeh_tashk,19
abaga,11
abagaita,326
abaiang_atoll,11
abakasnk,210
abala,67
abalak,71
abalessa,11
aban,230
abare_i,178
abarkuh,14
abashiri,27
abau,89
abbeville,207
abdanan,86
abdas,162
abdulino,88
abe,95
abemama_atoll,11
abengourou,314
aberdeen,61
aberfeldy,31
aberystwyth,65
abesehir,578
abha,80
abhar,64
abihka,91
abil,34
abimatinu,61
abingdon,297
abisko,7
abitau,18
abiward,98
abiy_addi,68
abiz,54
abo,26
abomey,742
abong,288
aborlan,76
abrahamtelke,237
abu,214
abu_dhabi,13
abu_hamed,8
abu_kemal,29
abu_qasr,56
abu_rakah,75
abun,95
aburra,71
abuta,46
abutua,730
abyy,11
acambaro,881
acanti,47
acaponeta,337
acarau,117
acari,103
acasaguastlan,248
acatic,277
acayucan,307
accomac,36
accra,473
acerenza,115
achacachi,16
achachiwa,56
achaivayam,11
achaka,11
acham,171
achan,151
achava,11
achen,136
achikamii,111
achim,76
achit_nuur,138
acholi,705
achomawi,111
aco,81
aconca_hue,112
aconchi,83
aconquija,169
acoroazes,517
acqui,134
acre,308
acroas,398
acteon,11
acuera,98
ad_dawasir,15
ad_dilam,62
ad_disah,12
ad_dughmiyah,76
adachi,93
adachi_kanto,253
adakli,65
adalaga,102
adan,105
adana,247
adanki,659
adare,72
addu_atoll,11
adena,117
adeqiu,239
aderbissinat,59
adham,129
adigrat,166
adilabad,674
adirondacks,61
adixoodagoorahareesh,150
adjud,60
adlur,598
ado_ekiti,494
adoni,819
adony,151
adra,118
adrada,110
adranos,201
adrar,11
adraskan,41
adshusheer,84
aduma,292
adwa,96
adyukh,85
adyumba,277
adzera,177
aekyom,133
aerzhai,559
afade,173
afanasyevo,107
afif,27
afikpo,499
afmadow,125
afrera,41
afrin,119
afsin,140
afso,155
aga,228
agadem,11
agadez,16
agadir,117
agaes,113
agai_ticutta,88
agaidika,112
agar,514
agaro,122
agartala,810
agatsuma,201
agawa,67
agawa_superior,55
agawam,121
agayakan,11
agbonle,208
agde,85
agdez,36
agen,301
agh_qala,53
agham_kot,327
aghkand,170
aghmat,34
agikuyu,922
agnam_civol,68
agno,62
agob,118
agoo,67
agordat,438
agori,1692
agouasaque,143
agra,2503
agramunt,91
agreda,96
agror,322
agsu,76
aguacadiba,66
aguacana,461
aguacay,143
aguanish,29
aguasabon,75
aguere,226
aguiar,126
aguilar_de_campoo,174
agula,60
agulhas,65
aguyaq,99
aguz,108
agvituk,11
agw_aneq,30
agwarmin,286
aha_macav,101
ahar,65
ahaus,178
ahe,76
ahel,64
aheri,1438
aheyya_fagg,151
ahkwesasne,42
ahkwesasne_ny,46
ahlat,33
ahmad_khan,98
ahmednagar,1399
ahna_wate,73
ahobalam,739
ahome,577
ahouenro,78
ahrweiler,239
ahsenisiipi,145
ahtopol,130
ahuacatlan,96
ahuilizapan,161
ahurei,114
ahuya_yari,59
ahvaz,57
ahwar,35
ahwendoe,11
ai_ais,11
aichi,346
aignay,172
aigun,231
aikana,135
aikhal,11
aikou,322
ailinglaplap_atoll,11
aillik,11
ailuk_atoll,11
aim_maia,11
aim_mocoylek,203
aimangala,538
aimchan,11
aimi,113
aimore,512
ain_farah,226
ain_galaka,11
ain_madhi,92
ain_salah,11
ain_sefra,38
ainsa,100
ainu_nik,74
air_hitam,75
airag_nuur,65
aire,141
ais,121
ait_benhaddou,48
ait_daoud,76
aita,162
aitbulat,32
aitutaki_atoll,11
aiud,81
aivitok,11
aiwanj,74
aix_en_provence,422
aixe,224
aizkraukle,47
ajaccio,112
ajanas,58
ajara,460
ajase,1391
ajawewesitagun,141
ajayameru,245
ajdabiya,15
ajehuac_yana,86
ajie,52
ajim,20
ajmer,1140
aju,167
ajuchitlan,186
aka,183
akamba,12
akan_loc,33
akana,122
akaray,159
akaroa,29
akashi,234
akbarpur,2056
akcasehir,312
akdagmadeni,102
akei,19
akhalkalaki,152
akhaltsikhe,110
akhisar,90
akhmim,1009
akhsikath,150
akhsisek,112
akhtar,62
aki,138
aki_shikoku,124
akilasiewakik,80
akilonda,97
akimel_oodham,266
akimiski,11
akinka_nup,17
akinkumasnuqit,108
akishma,8
akisq_nuk,137
akita,201
akita_kumamoto,202
akjoujt,11
akkajaur,11
akkala,22
akkesene,31
akkeshi,56
akkol,435
akkus,125
aklan,55
aklaviq,11
aklera,835
aknuq_uk,11
akokpaq,123
akola,829
akonolinga,154
akora,150
akou,242
akre,92
akropong,476
aksaray,125
aksay,77
aksay_pointic,211
aksehir,37
aksu,113
aksumbe,11
aktas_kystagy,12
akto,17
akure,422
akureyri,11
akuugun,11
akwaala,341
akwatia,380
akwe,280
akwen,536
akyab,76
akyazi,240
al_abala,41
al_abwa,41
al_aflaj,36
al_ahmar,13
al_ahsa,145
al_ais,25
al_ajfar,47
al_amlah,43
al_amwah,48
al_anbar,91
al_arah,141
al_ayn,26
al_ayn_khaybar,28
al_aythamah,33
al_azlam,11
al_bab,168
al_bad,12
al_baharah,14
al_bayda,62
al_bayda_yemen,89
al_bidda,11
al_bijadiyah,42
al_bleiteh,13
al_burud,54
al_dhaid,25
al_farah_ula,26
al_fuqarah,89
al_furaish,30
al_ghat,52
al_ghazalah,11
al_ghrabah,14
al_ghulayfiqah,265
al_haddar,35
al_hadhah,62
al_hajr,154
al_hamad,38
al_haqu,37
al_harjah,35
al_harrah,62
al_hawra,12
al_hegrieah,23
al_hinakiyah,23
al_hirda,449
al_hisu,10
al_hufayr,11
al_hufayrah,39
al_hunayy,49
al_husayniyah,20
al_huwaila,11
al_huwayyit,11
al_jar,39
al_jawf,11
al_jeblien,363
al_jubayl,86
al_juhfah,98
al_jumum,89
al_kadwa,254
al_kamil_wal_wafi,21
al_khaburah,54
al_khadra,11
al_khadra_ALG,65
al_khanbarah,27
al_kharabah,174
al_khosuf,114
al_khuimat,53
al_khums,151
al_khuraybah,29
al_kuwayra,13
al_labbah,11
al_laghfiyyah,36
al_lith,112
al_luhayyah,391
al_madar,135
al_maddah,51
al_mafalis,272
al_maghib,56
al_mahani,111
al_mahjal,112
al_majazah,73
al_majmaah,111
al_mamtir,66
al_mandab,144
al_manjur,11
al_maramiyah,11
al_mardamah,11
al_marwa,27
al_mashqar,37
al_maslum,9
