From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
messina;reggiocal;sea;strait_messina;8396;5518;8404;5519;xxx
krk;crikvenica;sea;kvarner_gulf;8359;5959;8363;5964;xxx
pag;kaseg;sea;kvarner_gulf;8372;5925;8375;5927;xxx
pag;pazin;sea;kvarner_gulf;8342;5962;8338;5964;xxx
pag;senj;sea;kvarner_gulf;8366;5938;8370;5938;xxx
brac;makarska;sea;korcula_strait;8470;5835;8472;5839;xxx
corfu;butrint;sea;coast_corfu;8599;5622;8602;5622;xxx
leukas;vonitsa;sea;ambracian_gulf;8633;5565;8636;5565;xxx
patras;nafpaktos;sea;gulf_corinth;8687;5535;8687;5538;xxx
kos;bodrum;sea;ceramic_gulf;8935;5446;8942;5453;xxx
samos;balat;sea;gulf_kusadasi;8922;5497;8922;5495;xxx
andros;mykonos;sea;west_cyclades;8827;5496;8829;5494;xxx
athens;karystos;sea;petalion_gulf;8787;5526;8789;5528;xxx
oreos;atalanti;sea;euboic_sea;8735;5566;8734;5562;xxx
oreos;zetounion;sea;euboic_sea;8732;5568;8731;5570;xxx
oreos;demetrias;sea;euboic_sea;8743;5575;8741;5578;xxx
demetrias;sporades;sea;gulf_kymi;8754;5587;8757;5586;xxx
gallipoli;canakkale;sea;dardanelles;8892;5651;8894;5650;xxx
gallipoli;lapseki;sea;dardanelles;8905;5664;8907;5662;xxx
chios;cesme;sea;gulf_smyrna;8881;5538;8889;5536;xxx
constantinople;uskudar;sea;gulf_izmit;9012;5708;9019;5708;xxx
kalay;enice;sea;dniester_estuary;9272;6007;9278;6009;xxx
ajim;medenine;sea;gulf_gabes1;8181;5255;8180;5253;xxx
ajim;zarzis;sea;gulf_gabes1;8187;5250;8189;5248;xxx
gambia;albreda;sea;gambia_river_mouth;6934;4089;6938;4091;xxx
bintang;albreda;sea;gambia_river_mouth;6950;4081;6948;4084;xxx
bissau;rio_grande;sea;geba_estuary;6998;4004;6998;4001;xxx
eko;ikosi;sea;lagos_lagoon;7845;3700;7848;3700;xxx
hormuz;bandar_khamir;sea;strait_hormuz;10229;4855;10229;4857;xxx
quban;hendijan;sea;iranian_bay;9934;5048;9936;5048;xxx
barguna;shahbazpur;sea;indian_coast62;11801;4568;11803;4568;xxx
thalang;takua_pa;sea;phuket_coast;12166;3796;12165;3798;xxx
johor_lama;temasek;sea;eastern_singapore_strait;12417;3429;12417;3426;xxx
bengkalis;siak;sea;western_singapore_strait;12365;3391;12365;3388;xxx
bengkalis;buantan;sea;inner_strait_malacca;12346;3411;12343;3411;xxx
musi_hilir;lalan;sea;bangka_strait;12464;3221;12462;3223;xxx
balambangan;julah;sea;bali_strait;12898;2900;12900;2900;xxx
bangkalan;surabaya;sea;madura_strait;12823;2953;12823;2951;xxx
bangkalan;gresik;sea;madura_strait;12821;2953;12819;2953;xxx
bangkalan;tuban_java;sea;madura_strait;12820;2959;12818;2959;xxx
larantuka;lamakera;sea;alor_strait;13290;2890;13292;2890;xxx
kimaama;yelmek;sea;digul_mouth;14016;2931;14016;2934;xxx
kimaama;marlew;sea;digul_mouth;14016;2918;14019;2918;xxx
bitur;gogodala;sea;purutu_island;14188;2889;14190;2891;xxx
duau;moratau;sea;goodenough_bay;14553;2812;14554;2814;xxx
nidula;moratau;sea;fergusson_island;14535;2831;14538;2831;xxx
tinputz;buka;sea;matchin_bay;14729;3048;14729;3050;xxx
kolombangara;roviana;sea;vella_gulf;14843;2900;14843;2898;xxx
sakao;tamambo;sea;lasenuwei_bay;15300;2484;15300;2482;xxx
sigam;cantung;sea;laut_strait;12978;3166;12978;3168;xxx
sigam;pagatan;sea;laut_strait;12974;3154;12971;3154;xxx
limasawa;pangasugan;sea;leyte_gulf;13387;3907;13386;3908;xxx
limasawa;surigao;sea;leyte_gulf;13408;3887;13406;3885;xxx
xiangshan;fenghua;sea;sanmen_bay;13231;5006;13229;5009;xxx
luoyuan;changshi;sea;sansha_bay;13142;4831;13146;4832;xxx
huian;putian;sea;xinghua_bay;13105;4754;13108;4755;xxx
dinghai;changguo;sea;hangzhou_bay;13235;5030;13238;5033;xxx
chongming;haimen;sea;yantze_estuary;13212;5143;13212;5146;xxx
changshu;jinghai_tongzhou;sea;yantze_estuary;13196;5137;13196;5141;xxx
changshu;rugao;sea;yantze_estuary;13180;5151;13180;5154;xxx
lingshanwei;fushan_jiaozhou;sea;jiaozhou_bay;13167;5392;13167;5396;xxx
jimo;dasong;sea;daqiao_bay;13197;5425;13197;5428;xxx
baekcheon;inju;sea;kanghwa_bay;13433;5500;13436;5500;xxx
seosan;boryeong;sea;cheonsu_bay;13446;5415;13449;5416;xxx
jindo;muan;sea;yangsan_bay;13431;5317;13431;5320;xxx
haenam;jindo;sea;yangsan_bay;13444;5305;13442;5303;xxx
hadong;namhae;sea;sacheon_bay;13511;5329;13513;5327;xxx
sacheon;namhae;sea;sacheon_bay;13520;5328;13519;5325;xxx
sacheon;geoje;sea;masan_bay;13539;5332;13542;5330;xxx
hamaroy;trondenes;sea;vestfjord;8446;7626;8446;7630;xxx
orkdal;orland;sea;trondheim_fjord;8141;7240;8145;7243;xxx
nordhordland;sunnfjord;sea;sogne_fjord;7928;7060;7929;7064;xxx
vik;sogndal;sea;sogne_fjord;7985;7061;7984;7064;xxx
bergen;nordhordland;sea;fens_fjord;7925;7010;7925;7012;xxx
haugalandet;moster;sea;hardanger_fjord;7940;6959;7938;6963;xxx
helsingor;helsingborg;sea;oresund;8264;6698;8268;6700;xxx
falster;vordingborg;sea;stora_balt;8234;6619;8234;6623;xxx
falster;navskov;sea;stora_balt;8226;6615;8224;6615;xxx
assens;kolding;sea;stora_balt;8139;6662;8137;6665;xxx
soderkoping;kolmarden;sea;braviken;8452;6880;8452;6882;xxx
rugen;grimmen;sea;pommeranian_coast;8296;6572;8295;6570;xxx
rugen;stralsund;sea;pommeranian_coast;8290;6577;8289;6575;xxx
aalborg;skagen;sea;limfjorden;8148;6761;8148;6763;xxx
aalborg;hjorring;sea;limfjorden;8145;6762;8144;6764;xxx
ars;thisted;sea;limfjorden;8112;6757;8112;6760;xxx
viborg;thisted;sea;limfjorden;8096;6745;8093;6748;xxx
ringkobing;thisted;sea;limfjorden;8078;6733;8079;6737;xxx
neuhaus;heide;sea;elbe_estuary;8106;6545;8106;6547;xxx
elsfleth;gestenthorpe;sea;jade_bay;8079;6521;8082;6521;xxx
appingedam;emden;sea;emms_estuary;8012;6506;8012;6509;xxx
middelburg;rotterdam;sea;rhine_estuary;7875;6395;7877;6398;xxx
hulst;middelburg;sea;scheldt_estuary;7874;6376;7876;6378;xxx
bruges;middelburg;sea;scheldt_estuary;7851;6377;7853;6380;xxx
