evidence_id,crop,evidence_state,latitude,longitude,coordinate_uncertainty_km,start_year,end_year,evidence_kind,source_id,source_record_id,source_object_sha256,citation_url,notes
crop_history_000001,banana,known_available,-5.78371111,144.33172222,0,-5000,-4490,dated_archaeological_cultivation_occurrence,unesco_kuk_nomination_2007,UNESCO_887:banana,53ba1c0a355f8e4b8ff8706d4b0b36fbbbe26527ede0ab7ef6e8dea5d9252cd2,https://whc.unesco.org/en/list/887,site=Kuk Early Agricultural Site; UNESCO coordinate=S5 47 1.36 E144 19 54.2; property_area_ha=116; crop is named in the nomination's vegetative-propagation agricultural sequence around 7000-6400 cal BP; use is documented as episodically persistent to the present
crop_history_000002,barley,known_available,26.80916667,33.48694444,10,150,300,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_100,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Mons Claudianus; country=Egypt; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=ass; phase=-
crop_history_000003,barley,known_available,35.208137,106.03985,10,-1500,-300,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1012,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Hexianzui; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=AMS; phase=Siwa
crop_history_000004,barley,known_available,36.981785,98.522021,10,-1415,-1267,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1015,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Hongshanzuinanpo; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=AMS; phase=Nuomuhong
crop_history_000005,barley,known_available,36.37,101.88,10,-1190,-1110,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1018,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Hongyinxiayinpo; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=3; dating_quality=ass; phase=Kayue
crop_history_000006,barley,known_available,35.8,102.54,1,-375,-1,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1019,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Hongzhuangxitan; country=China; taxon_codes=Hv; georef_quality=1; sample_quality=2; dating_quality=C14; phase=Kayue
crop_history_000007,barley,known_available,37.93544,102.605228,10,-2043,-1746,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1042,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Huangniangniangtai; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=C14; phase=Qijia
crop_history_000008,barley,uncertain,37.93544,102.605228,10,1274,1337,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1043,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Huangniangniangtai; country=China; taxon_codes=Hv; georef_quality=2; sample_quality=2; dating_quality=ass; phase=Yuan/Ming
crop_history_000009,barley,known_available,36.366125,102.321983,1,-1416,-1216,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1051,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Huidui; country=China; taxon_codes=Hv; georef_quality=1; sample_quality=1; dating_quality=C14; phase=Xindian
crop_history_000010,barley,known_available,36.366125,102.321983,1,-838,-546,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_1052,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Huidui; country=China; taxon_codes=Hv; georef_quality=1; sample_quality=3; dating_quality=C14; phase=Kayue
crop_history_000011,barley,known_available,26.36667,31.9,10,-3635,-2460,dated_archaeobotanical_occurrence,fuller_owcad_2026,OWCAD_v1_row_106,6af22e9b817491590d31d35d76eebb282292f2c35ef6e0e657d264eb082ee46c,https://doi.org/10.1007/s00334-026-01114-6,site=Nag ed Deir; country=Egypt; taxon_codes=Hv; georef_quality=2; sample_quality=1; dating_quality=AMS; phase=Pre-Dynastic/Early Dynastic
