location_tag,province,owner,rank,rgo,capacity_people,pops_people,over_capacity,processor,processor_levels,farm,farm_levels,land_levels_available,farm_land_people,farm_limit
montreuillon,nevernais_province,NEV,rural_settlement,lumber,211200.0,27342.0,false,lumber_mill,2,farming_village,6,35,30000.0,cap
zawila,fezzan_province,FZA,rural_settlement,livestock,17400.0,5425.999999999999,false,"",0,farming_village,1,1,5000.0,land
einarsfjord,gardr_province,GRL,rural_settlement,fish,3000.0,30.0,false,fishing_village,0,"",0,0,0.0,""
sekadau,lower_kapuas_province,SGU,rural_settlement,lumber,57640.0,5056.0,false,lumber_mill,1,"",0,0,0.0,""
helfenstein,swabian_alb_province,HLF,rural_settlement,millet,147860.0,5285.0,false,"",0,farming_village,3,27,15000.0,workers
al_ahmar,yanbu_province,MDA,rural_settlement,iron,6700.0,1464.0,false,iron_mine,0,"",0,0,0.0,""
stefanesti,dorohei_province,IAS,rural_settlement,clay,112040.0,8387.0,false,clay_pit,2,"",0,0,0.0,""
kollam,ve_nadu,VND,city,pepper,137290.0,60297.00000000001,false,"",0,"",0,0,0.0,""
kumukh,avaria_province,TRK,rural_settlement,livestock,34000.0,2674.0,false,"",0,farming_village,0,5,0.0,workers
offa,igbomina_province,ISO,rural_settlement,dyes,35600.0,34221.0,false,"",0,"",0,0,0.0,""
porvoo,nyland_province,SWE,rural_settlement,millet,34100.0,3939.0,false,"",0,farming_village,2,5,10000.0,workers
yongan_youzhou,youzhou_province,CHI,town,livestock,70510.0,40372.0,false,"",0,farming_village,5,5,25000.0,land
tyatseryn,orsha_province,DRU,rural_settlement,clay,59710.0,5882.0,false,clay_pit,2,"",0,0,0.0,""
stelty,nema_province,PRM,rural_settlement,fur,30200.0,4820.0,false,forest_village,1,"",0,0,0.0,""
tlapan,tlapan_province,TLP,rural_settlement,gems,33900.0,22746.000000000004,false,gem_gravel_pit,1,"",0,0,0.0,""
kamysh_burun,terek_province,GLH,rural_settlement,livestock,30200.0,3926.0,false,"",0,farming_village,0,4,0.0,workers
yixian_yizhou,yizhou_province,CHI,town,stone,80000.0,74651.00000000001,false,stone_quarry,1,"",0,0,0.0,""
zihuatlan,tomatlan_province,TMT,rural_settlement,cocoa,74530.0,11067.0,false,"",0,"",0,0,0.0,""
tsiietsenhtha,adirondacks_province,KKA,rural_settlement,lumber,18700.0,139.0,false,lumber_mill,0,"",0,0,0.0,""
ourense,ourense_province,CAS,rural_settlement,wine,79710.0,21861.0,false,"",0,"",0,0,0.0,""
kaiserslautern,palatinate_province,PAL,rural_settlement,wild_game,95830.0,35471.0,false,forest_village,2,"",0,0,0.0,""
ostrovskoye,kostroma_province,KOS,rural_settlement,millet,37800.0,12784.0,false,"",0,farming_village,0,4,0.0,workers
zhengcheng,panyu_province,CHI,rural_settlement,rice,105260.0,38933.0,false,"",0,farming_village,6,12,30000.0,cap
memba,lower_lurio_province,ZAN,rural_settlement,fish,42500.0,9909.0,false,fishing_village,1,"",0,0,0.0,""
yingdao,daozhou_province,CHI,rural_settlement,lumber,81950.0,38946.99999999999,false,lumber_mill,0,"",0,0,0.0,""
rennes,rennais_province,BRI,town,wheat,173960.0,79244.0,false,"",0,farming_village,6,17,30000.0,cap
dinghai,ningbo_province,CHI,rural_settlement,fish,388380.0,198005.0,false,fishing_village,3,"",0,0,0.0,""
sampheak_borak,kracheh_province,KHM,rural_settlement,clay,48400.0,2665.0,false,clay_pit,0,"",0,0,0.0,""
sennar,lower_gezira_province,ALO,rural_settlement,cotton,45500.0,44242.0,false,"",0,"",0,0,0.0,""
kaya,bicchuu_province,JAP,rural_settlement,rice,68140.0,19128.0,false,"",0,farming_village,6,8,30000.0,cap
barysaw,barysaw_province,LIT,rural_settlement,fur,58010.0,12286.999999999998,false,forest_village,2,"",0,0,0.0,""
nowe,tuchola_province,TEU,rural_settlement,wool,92430.0,6251.0,false,"",0,sheep_farms,3,42,6000.0,workers
nutari,echigo_province,JAP,rural_settlement,rice,83110.0,29483.0,false,"",0,farming_village,6,9,30000.0,cap
mehkar,lower_vidarbha,DLH,rural_settlement,livestock,152350.0,220562.0,true,"",0,farming_village,0,0,0.0,land
perevoz,alatyr_province,GLH,rural_settlement,lumber,35700.0,5339.0,false,lumber_mill,0,"",0,0,0.0,""
guanfu,dongguan_province,CHI,rural_settlement,fish,52300.0,41419.99999999999,false,fishing_village,3,"",0,0,0.0,""
pinar,granada_province,GRA,rural_settlement,wheat,66810.0,17290.0,false,"",0,farming_village,6,8,30000.0,cap
balashov,atkarsk_province,GLH,rural_settlement,livestock,48600.0,4191.0,false,"",0,farming_village,0,7,0.0,workers
titel,bacs_province,HUN,rural_settlement,livestock,100020.0,33222.0,false,"",0,farming_village,6,12,30000.0,cap
sorochinskaya,sorochinskaya_province,GLH,rural_settlement,horses,32700.0,5965.0,false,"",0,"",0,0,0.0,""
shangcheng,guangzhou_henan_province,CHI,rural_settlement,wild_game,75940.0,14113.999999999998,false,forest_village,2,"",0,0,0.0,""
kraslava,latgalia_province,LIV,rural_settlement,beeswax,59210.0,6723.0,false,"",0,farming_village,4,9,20000.0,workers
gowa,makassar_province,GOW,town,fish,83610.0,41580.0,false,fishing_village,3,"",0,0,0.0,""
karima,makuria_province,MAK,rural_settlement,sand,30410.0,48147.0,true,sand_pit,1,"",0,0,0.0,""
jaund,arrah_province,UJJ,rural_settlement,rice,167680.0,166190.0,false,"",0,farming_village,0,0,0.0,land
wonju,wonju_province,KOR,rural_settlement,rice,68040.0,21833.000000000004,false,"",0,farming_village,6,8,30000.0,cap
darlington,durham_province,DHM,rural_settlement,coal,61510.0,13322.0,false,coal_mine,1,"",0,0,0.0,""
pag,lika_province,VEN,rural_settlement,medicaments,42100.0,4662.0,false,"",0,"",0,0,0.0,""
khaqmar,khaqmar_province,GLH,rural_settlement,livestock,35400.0,7252.0,false,"",0,farming_village,2,4,10000.0,workers
sankaranayinarkoil,pandya_nadu,MAB,rural_settlement,cotton,85010.0,74342.0,false,"",0,"",0,0,0.0,""
pasai,northern_aceh_province,PSA,town,goods_gold,75340.0,7861.0,false,gold_diggings,1,"",0,0,0.0,""
hunucma,mayapan_province,COC,rural_settlement,salt,63260.0,62772.99999999999,false,salt_collector,2,"",0,0,0.0,""
slobozia,south_muntenia_province,WAL,rural_settlement,livestock,64100.0,8575.000000000002,false,"",0,farming_village,5,10,25000.0,workers
zhongjiang,tongchuan_province,CHI,rural_settlement,rice,149940.0,10247.0,false,"",0,farming_village,6,26,30000.0,cap
zazzau,zazzau_province,ZZZ,city,cotton,108300.0,65078.0,false,"",0,"",0,0,0.0,""
ruydar,lar_province,LST,rural_settlement,wild_game,19800.0,2763.0,false,forest_village,1,"",0,0,0.0,""
ranibas,lower_kosi_province,LWA,rural_settlement,wild_game,49300.0,16958.0,false,forest_village,2,"",0,0,0.0,""
jiyuan,huaiqing_province,CHI,town,legumes,84500.0,73821.99999999999,false,"",0,farming_village,1,1,5000.0,land
xinxing,chengjiang_province,LNG,rural_settlement,fiber_crops,89910.0,2153.0,false,"",0,"",0,0,0.0,""
sisak,zagreb_province,HUN,rural_settlement,livestock,89220.0,20767.000000000004,false,"",0,farming_village,6,12,30000.0,cap
stryi,drohobych_province,HAL,rural_settlement,livestock,31700.0,8331.999999999998,false,"",0,farming_village,3,3,15000.0,land
rayadurga,kampili,VIJ,rural_settlement,iron,123020.0,67870.0,false,iron_mine,2,"",0,0,0.0,""
