name,unlock_age,general_unlock_age,specific_unlock_age,availability_kind,is_available_by_age
mason,,,,available_by_default,True
tar_kiln,,,,available_by_default,True
horse_breeders,,,,available_by_default,True
stone_quarry,,,,available_by_default,True
lumber_mill,,,,available_by_default,True
fiber_crops_farm,,,,available_by_default,True
sand_pit,,,,available_by_default,True
bog_iron_smelter,age_1_traditions,age_1_traditions,,unlocked,True
clay_pit,,,,available_by_default,True
fruit_orchard,,,,available_by_default,True
slave_center,age_2_renaissance,age_2_renaissance,,unlocked,True
sugar_plantation,age_3_discovery,age_3_discovery,,unlocked,True
cotton_plantation,age_3_discovery,age_3_discovery,,unlocked,True
tobacco_plantation,age_3_discovery,age_3_discovery,,unlocked,True
brewery,,,,available_by_default,True
beer_workshop,age_4_reformation,age_4_reformation,,unlocked,True
brewery_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
brewery_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
scriptorium,age_1_traditions,age_1_traditions,,unlocked,True
printing_press_shop,age_3_discovery,age_3_discovery,,unlocked,True
printing_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
printing_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
cannon_maker,age_2_renaissance,age_2_renaissance,,unlocked,True
cannon_workshop,age_4_reformation,age_4_reformation,,unlocked,True
cannon_foundry,age_5_absolutism,age_5_absolutism,,unlocked,True
cannons_factory,age_6_revolutions,age_6_revolutions,,unlocked,True
cloth_guild,,,,available_by_default,True
cloth_workshop,age_4_reformation,age_4_reformation,,unlocked,True
cloth_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
textile_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
dyes_guild,,,,available_by_default,True
dyes_workshop,age_4_reformation,age_4_reformation,,unlocked,True
dyesworks,age_5_absolutism,age_5_absolutism,,unlocked,True
dyes_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
fine_cloth_guild,,,,available_by_default,True
fine_cloth_workshop,age_4_reformation,age_4_reformation,,unlocked,True
fine_cloth_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
fine_cloth_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
hand_cannon_guild,age_1_traditions,,age_1_traditions,specific_only,True
gun_smith,age_2_renaissance,age_2_renaissance,,unlocked,True
guns_workshop,age_4_reformation,age_4_reformation,,unlocked,True
firearms_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
firearms_factory,age_6_revolutions,age_6_revolutions,,unlocked,True
furniture_guild,,,,available_by_default,True
furniture_workshop,age_4_reformation,age_4_reformation,,unlocked,True
furniture_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
furniture_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
glass_guild,,,,available_by_default,True
glass_workshop,age_4_reformation,age_4_reformation,,unlocked,True
glassworks,age_5_absolutism,age_5_absolutism,,unlocked,True
glass_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
lacquerware_guild,age_1_traditions,,age_1_traditions,specific_only,True
lacquerware_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
tannery,,,,available_by_default,True
tanning_workshop,age_4_reformation,age_4_reformation,,unlocked,True
tannery_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
tannery_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
distillers_guild,,,,available_by_default,True
distillers_workshop,age_4_reformation,age_4_reformation,,unlocked,True
distiller_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
distiller_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
naval_supplies_guild,,,,available_by_default,True
naval_supplies_workshop,age_3_discovery,age_3_discovery,,unlocked,True
naval_supplies_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
naval_supplies_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
paper_guild,age_1_traditions,age_1_traditions,,unlocked,True
paper_workshop,age_3_discovery,age_3_discovery,,unlocked,True
paper_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
paper_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
porcelain_guild,age_1_traditions,,age_1_traditions,specific_only,True
porcelain_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
pottery_guild,,,,available_by_default,True
pottery_workshop,age_4_reformation,age_4_reformation,,unlocked,True
pottery_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
pottery_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
saltpeter_guild,,,,available_by_default,True
saltpeter_workshop,age_4_reformation,age_4_reformation,,unlocked,True
putrefaction_works,age_5_absolutism,age_5_absolutism,,unlocked,True
putrefaction_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
tools_guild,age_1_traditions,age_1_traditions,,unlocked,True
tools_workshop,age_4_reformation,age_4_reformation,,unlocked,True
iron_foundry,age_5_absolutism,age_5_absolutism,,unlocked,True
iron_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
weapon_guild,age_1_traditions,age_1_traditions,,unlocked,True
weapon_workshop,age_3_discovery,age_3_discovery,,unlocked,True
weapon_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
weapon_factory,age_6_revolutions,age_6_revolutions,,unlocked,True
winery,,,,available_by_default,True
winery_manufactory,age_5_absolutism,age_5_absolutism,,unlocked,True
apothecary,age_1_traditions,age_1_traditions,,unlocked,True
jewelry_guild,,,,available_by_default,True
steel_mill,age_6_revolutions,age_6_revolutions,,unlocked,True
perfumery,age_5_absolutism,age_5_absolutism,,unlocked,True
