name,source_file,source_line,source_layer,source_mod,source_mode,source_history
rgo_building_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,1,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":1,""mod_name"":null,""mode"":""CREATE""}]"
basic_industry_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,8,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":8,""mod_name"":null,""mode"":""CREATE""}]"
weapons_industry_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,12,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":12,""mod_name"":null,""mode"":""CREATE""}]"
consumer_goods_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,17,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":17,""mod_name"":null,""mode"":""CREATE""}]"
government_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,22,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":22,""mod_name"":null,""mode"":""CREATE""}]"
infrastructure_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,27,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":27,""mod_name"":null,""mode"":""CREATE""}]"
religious_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,31,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":31,""mod_name"":null,""mode"":""CREATE""}]"
cultural_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,35,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":35,""mod_name"":null,""mode"":""CREATE""}]"
trade_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,39,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":39,""mod_name"":null,""mode"":""CREATE""}]"
naval_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,44,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":44,""mod_name"":null,""mode"":""CREATE""}]"
military_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,48,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":48,""mod_name"":null,""mode"":""CREATE""}]"
defense_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,53,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":53,""mod_name"":null,""mode"":""CREATE""}]"
village_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,58,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":58,""mod_name"":null,""mode"":""CREATE""}]"
colonial_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,63,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":63,""mod_name"":null,""mode"":""CREATE""}]"
estate_category,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt,67,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_categories/00_default.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":67,""mod_name"":null,""mode"":""CREATE""}]"
