name,category,icon,price,price_gold,price_source,effective_price,effective_price_gold,effective_price_source,price_kind,pop_type,employment_size,employment_size_key,max_levels,obsolete_buildings,possible_production_methods,unique_production_methods,unique_production_method_groups,source_file,source_line,source_layer,source_mod,source_mode,source_history
sofa_stockade,defense_category,,,,,,,,unresolved,soldiers,,slave_soldier_barracks,1,[],[],"[""sofa_stockade_maintenance""]","[[""sofa_stockade_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_sofa_stockade.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/00_unique_buildings_to_make_obsolete.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":2,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_sofa_stockade.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
korean_barracks,military_category,,,,,,,,unresolved,soldiers,,manpower_employment,1,[],"[""early_soldier_building_maintenance""]",[],[],/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_korean_barracks.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/00_unique_buildings_to_make_obsolete.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":46,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_korean_barracks.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
provincial_garrison,military_category,,,,,,,,unresolved,soldiers,,manpower_employment,1,[],"[""early_soldier_building_maintenance""]",[],[],/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_provincial_garrison.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/00_unique_buildings_to_make_obsolete.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":68,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_provincial_garrison.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
royal_court,government_category,,,,,,,,unresolved,nobles,,large_noble_employment,1,[],[],"[""pp_royal_court_maintenance""]","[[""pp_royal_court_maintenance""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt,191,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":191,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
house_of_parliament,government_category,,,,,,,,unresolved,nobles,,huge_noble_employment,1,[],[],"[""pp_house_of_parliament_requirements""]","[[""pp_house_of_parliament_requirements""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt,141,constructor,Prosper or Perish Constructor,REPLACE,"[{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/pp_gold_to_jewelry_buildings.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":141,""mod_name"":""Prosper or Perish Constructor"",""mode"":""REPLACE""}]"
order_headquarters,government_category,,,,,,,,unresolved,clergy,,religious_building_employment,1,[],[],"[""order_headquarters_requirements""]","[[""order_headquarters_requirements""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_order_headquarters.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/capital_buildings.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":119,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_order_headquarters.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
admiralty,government_category,,,,,,,,unresolved,burghers,,large_burgher_employment,1,[],[],"[""admiralty_requirements""]","[[""admiralty_requirements""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_admiralty.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/capital_buildings.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":183,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_admiralty.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
war_college,government_category,,,,,,,,unresolved,burghers,,large_burgher_employment,1,[],[],"[""war_college_requirements""]","[[""war_college_requirements""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_war_college.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/capital_buildings.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":232,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_war_college.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
tax_assessor,government_category,,,,,,,,unresolved,burghers,,large_burgher_employment,1,[],[],"[""tax_assessor_requirements""]","[[""tax_assessor_requirements""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_tax_assessor.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/capital_buildings.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":282,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_tax_assessor.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
supreme_court,government_category,,,,,,,,unresolved,nobles,,large_noble_employment,1,[],[],"[""supreme_court_requirements""]","[[""supreme_court_requirements""]]",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_supreme_court.txt,2,constructor,Prosper or Perish Constructor,INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/building_types/capital_buildings.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":330,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/building_types/zz_pp_supreme_court.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":2,""mod_name"":""Prosper or Perish Constructor"",""mode"":""INJECT""}]"
