file,enabled,tag,mode,footprint,pop_type,employment,bcat,method,pm_category,produced,output,out_value,n_goods,inputs,goods_cost,labour,total_cost,labour_share,cost_over_out,unknown_goods
ablaq_palace.yml,True,ablaq_palace,REPLACE,administration,burghers,0.3,government_category,pp_ablaq_palace_ablaq_palace_maintenance,building_maintenance,silk,0.35,1.4,2,lumber=0.149 marble=0.213,1.3257,0.0,1.3257,0.0,0.947,
alum_quarry.yml,True,alum_quarry,CREATE,extractive_open,laborers,1,rgo_building_category,pp_alum_quarry_base_alum,building_maintenance,alum,0.08,0.24,0,,0,0.0,0.0,,0.0,
alum_quarry.yml,True,alum_quarry,CREATE,extractive_open,laborers,1,rgo_building_category,pp_alum_quarry_no_primary,building_maintenance,,,,0,,0,0.0,0.0,,,
alum_quarry.yml,True,alum_quarry,CREATE,extractive_open,laborers,1,rgo_building_category,pp_alum_quarry_alum,building_maintenance,alum,0.424,1.272,2,lumber=0.197 tools=0.255,1.1735,0.0,1.1735,0.0,0.9226,
alum_quarry.yml,True,alum_quarry,CREATE,extractive_open,laborers,1,rgo_building_category,pp_alum_quarry_no_secondary,building_maintenance,,,,0,,0,0.0,0.0,,,
alum_quarry.yml,True,alum_quarry,CREATE,extractive_open,laborers,1,rgo_building_category,pp_alum_quarry_stone,building_maintenance,stone,0.168,0.168,2,lumber=0.04 tools=0.03,0.1675,0.0,0.1675,0.0,0.997,
alum_quarry.yml,True,alum_quarry,CREATE,extractive_open,laborers,1,rgo_building_category,pp_alum_quarry_clay,building_maintenance,clay,0.264,0.132,2,lumber=0.03 tools=0.02,0.1175,0.0,0.1175,0.0,0.8902,
alum_works.yml,True,alum_works,CREATE,rural_processing,laborers,1,rgo_building_category,pp_alum_works_base_alum,building_maintenance,alum,0.08,0.24,0,,0,0.0,0.0,,0.0,
alum_works.yml,True,alum_works,CREATE,rural_processing,laborers,1,rgo_building_category,pp_alum_works_no_primary,building_maintenance,,,,0,,0,0.0,0.0,,,
alum_works.yml,True,alum_works,CREATE,rural_processing,laborers,1,rgo_building_category,pp_alum_works_alum,building_maintenance,alum,0.672,2.016,3,lumber=0.327 tools=0.346 coal=0.077,1.8507,0.0,1.8507,0.0,0.918,
alum_works.yml,True,alum_works,CREATE,rural_processing,laborers,1,rgo_building_category,pp_alum_works_no_secondary,building_maintenance,,,,0,,0,0.0,0.0,,,
alum_works.yml,True,alum_works,CREATE,rural_processing,laborers,1,rgo_building_category,pp_alum_works_stone,building_maintenance,stone,0.16,0.16,2,lumber=0.04 tools=0.03,0.1675,0.0,0.1675,0.0,1.0469,
alum_works.yml,True,alum_works,CREATE,rural_processing,laborers,1,rgo_building_category,pp_alum_works_clay,building_maintenance,clay,0.252,0.126,2,lumber=0.03 tools=0.02,0.1175,0.0,0.1175,0.0,0.9325,
amber_collector.yml,True,amber_collector,CREATE,forestry,laborers,1,rgo_building_category,pp_amber_collector_base_amber,building_maintenance,amber,0.039,0.156,0,,0,0.0,0.0,,0.0,
amber_collector.yml,True,amber_collector,CREATE,forestry,laborers,1,rgo_building_category,pp_amber_collector_no_beach_gathering,building_maintenance,,,,0,,0,0.0,0.0,,,
amber_collector.yml,True,amber_collector,CREATE,forestry,laborers,1,rgo_building_category,pp_amber_collector_basket_gathering,building_maintenance,amber,0.087,0.348,2,fiber_crops=0.084 tools=0.042,0.3045,0.0,0.3045,0.0,0.875,
amber_collector.yml,True,amber_collector,CREATE,forestry,laborers,1,rgo_building_category,pp_amber_collector_no_sand,building_maintenance,,,,0,,0,0.0,0.0,,,
amber_collector.yml,True,amber_collector,CREATE,forestry,laborers,1,rgo_building_category,pp_amber_collector_sand_horses,building_maintenance,sand,0.288,0.144,1,horses=0.04,0.12,0.0,0.12,0.0,0.8333,
amber_collector.yml,True,amber_collector,CREATE,forestry,laborers,1,rgo_building_category,pp_amber_collector_sand_livestock,building_maintenance,sand,0.288,0.144,1,livestock=0.08,0.12,0.0,0.12,0.0,0.8333,
apothecary.yml,True,apothecary,REPLACE,urban_workshop,burghers,0.3,basic_industry_category,pp_apothecary_natural_medicine_apotechary,guild_input,medicaments,0.5,0.5,2,wild_game=0.047 fiber_crops=0.19,0.427,0.0,0.427,0.0,0.854,
apothecary.yml,True,apothecary,REPLACE,urban_workshop,burghers,0.3,basic_industry_category,pp_apothecary_ancient_medicine_apotechary,guild_input,medicaments,0.5,0.5,2,mercury=0.019 ivory=0.093,0.429,0.0,0.429,0.0,0.858,
armory.yml,True,armory,REPLACE,barracks,soldiers,manpower_employment,military_category,pp_armory_maintenance,building_maintenance,,,,6,firearms=0.5 leather=0.5 cloth=0.1 paper=0.2 weaponry=0.5 victuals=0.25,5.95,0.0,5.95,0.0,,
barracks.yml,True,barracks,REPLACE,barracks,soldiers,manpower_employment,military_category,pp_barracks_maintenance,building_maintenance,,,,6,firearms=1 leather=1 cloth=0.2 paper=0.4 weaponry=1 victuals=0.375,11.525,0.0,11.525,0.0,,
beer_workshop.yml,True,beer_workshop,REPLACE,urban_workshop,burghers,0.3,consumer_goods_category,pp_beer_workshop_wheat_beer_workshop_maintenance,workshop_input,beer,1.1,2.2,3,wheat=1.117 lumber=0.279 tools=0.112,1.9693,0.0,1.9693,0.0,0.8951,
beer_workshop.yml,True,beer_workshop,REPLACE,urban_workshop,burghers,0.3,consumer_goods_category,pp_beer_workshop_millet_beer_workshop_maintenance,workshop_input,beer,1.1,2.2,3,millet=1.117 lumber=0.279 tools=0.112,1.9693,0.0,1.9693,0.0,0.8951,
beer_workshop.yml,True,beer_workshop,REPLACE,urban_workshop,burghers,0.3,consumer_goods_category,pp_beer_workshop_fruit_beer_workshop_maintenance,workshop_input,beer,1.1,2.2,3,fruit=1.175 lumber=0.235 tools=0.118,1.9697,0.0,1.9697,0.0,0.8953,
beer_workshop.yml,True,beer_workshop,REPLACE,urban_workshop,burghers,0.3,consumer_goods_category,pp_beer_workshop_maize_beer_workshop_maintenance,workshop_input,beer,1.1,2.2,2,maize=1.576 pottery=0.364,1.94,0.0,1.94,0.0,0.8818,
beer_workshop.yml,True,beer_workshop,REPLACE,urban_workshop,burghers,0.3,consumer_goods_category,pp_beer_workshop_bavarian_beer_workshop_maintenance,workshop_input,beer,1.3,2.6,3,wheat=1.47 lumber=0.267 tools=0.134,2.3727,0.0,2.3727,0.0,0.9126,
beer_workshop.yml,True,beer_workshop,REPLACE,urban_workshop,burghers,0.3,consumer_goods_category,pp_beer_workshop_honey_beer_workshop_maintenance,workshop_input,beer,1.1,2.2,4,beeswax=0.294 millet=0.588 lumber=0.235 tools=0.118,1.9707,0.0,1.9707,0.0,0.8958,
beer_workshop.yml,True,beer_workshop,REPLACE,urban_workshop,burghers,0.3,consumer_goods_category,pp_beer_workshop_rice_beer_workshop_maintenance,workshop_input,beer,1.1,2.2,3,rice=1.117 lumber=0.279 tools=0.112,1.9693,0.0,1.9693,0.0,0.8951,
bog_iron_smelter.yml,True,bog_iron_smelter,REPLACE,mill_works,laborers,1,rgo_building_category,pp_bog_iron_maintenance,building_maintenance,iron,0.31,1.085,1,coal=0.45,0.9,0.0,0.9,0.0,0.8295,
bog_iron_smelter_blast_furnace.yml,True,bog_iron_smelter_blast_furnace,CREATE,mill_works,laborers,1,rgo_building_category,pp_bog_iron_smelter_blast_furnace_maintenance,building_maintenance,iron,0.32,1.12,2,coal=0.39 tools=0.05,0.9425,0.0,0.9425,0.0,0.8415,
bog_iron_smelter_blast_furnace.yml,True,bog_iron_smelter_blast_furnace,CREATE,mill_works,laborers,1,rgo_building_category,pp_bog_iron_smelter_blast_furnace_finery,building_maintenance,iron,0.39,1.365,3,coal=0.43 tools=0.06 lumber=0.06,1.16,0.0,1.16,0.0,0.8498,
bog_iron_smelter_coke_blast_furnace.yml,True,bog_iron_smelter_coke_blast_furnace,CREATE,mill_works,laborers,1,rgo_building_category,pp_bog_iron_smelter_coke_blast_furnace_maintenance,building_maintenance,iron,0.41,1.435,3,coal=0.4 tools=0.08 lumber=0.08,1.2,0.0,1.2,0.0,0.8362,
bog_iron_smelter_coke_blast_furnace.yml,True,bog_iron_smelter_coke_blast_furnace,CREATE,mill_works,laborers,1,rgo_building_category,pp_bog_iron_smelter_hot_blast_refining_maintenance,building_maintenance,iron,0.46,1.61,3,coal=0.45 tools=0.1 lumber=0.09,1.3825,0.0,1.3825,0.0,0.8587,
brewery.yml,True,brewery,REPLACE,manufactory,burghers,0.3,consumer_goods_category,pp_brewery_wheat_brewery_maintenance,guild_input,beer,1.0,2.0,3,wheat=1.109 lumber=0.277 tools=0.111,1.9545,0.0,1.9545,0.0,0.9772,
brewery.yml,True,brewery,REPLACE,manufactory,burghers,0.3,consumer_goods_category,pp_brewery_millet_brewery_maintenance,guild_input,beer,1.0,2.0,3,millet=1.109 lumber=0.277 tools=0.111,1.9545,0.0,1.9545,0.0,0.9772,
brewery.yml,True,brewery,REPLACE,manufactory,burghers,0.3,consumer_goods_category,pp_brewery_fruit_brewery_maintenance,guild_input,beer,1.0,2.0,3,fruit=1.168 lumber=0.233 tools=0.117,1.956,0.0,1.956,0.0,0.978,
brewery.yml,True,brewery,REPLACE,manufactory,burghers,0.3,consumer_goods_category,pp_brewery_maize_brewery_maintenance,guild_input,beer,1.0,2.0,2,maize=1.588 pottery=0.34,1.928,0.0,1.928,0.0,0.964,
brewery.yml,True,brewery,REPLACE,manufactory,burghers,0.3,consumer_goods_category,pp_brewery_bavarian_brewery_maintenance,guild_input,beer,1.2,2.4,3,wheat=1.512 lumber=0.251 tools=0.126,2.3607,0.0,2.3607,0.0,0.9836,
brewery.yml,True,brewery,REPLACE,manufactory,burghers,0.3,consumer_goods_category,pp_brewery_honey_brewery_maintenance,guild_input,beer,1.0,2.0,4,beeswax=0.292 millet=0.584 lumber=0.233 tools=0.117,1.956,0.0,1.956,0.0,0.978,
brewery.yml,True,brewery,REPLACE,manufactory,burghers,0.3,consumer_goods_category,pp_brewery_rice_brewery_maintenance,guild_input,beer,1.0,2.0,3,rice=1.109 lumber=0.277 tools=0.111,1.9545,0.0,1.9545,0.0,0.9772,
