name,method,category,color,default_market_price,transport_cost,food,block_rgo_upgrade,development_threshold,origin_in_old_world,origin_in_new_world,custom_tags,demand_add,demand_multiply,wealth_impact_threshold,data,source_file,source_line,source_layer,source_mod,source_mode,source_history
horses,farming,raw_material,goods_horses,3.0,2.0,,true,,true,,"[""old_world_goods""]","{""nobles"":0.25}",{},{},"{""entries"":[{""key"":""method"",""op"":""="",""value"":""farming""},{""key"":""category"",""op"":""="",""value"":""raw_material""},{""key"":""color"",""op"":""="",""value"":""goods_horses""},{""key"":""default_market_price"",""op"":""="",""value"":3},{""key"":""transport_cost"",""op"":""="",""value"":2},{""key"":""demand_add"",""op"":""="",""value"":{""entries"":[{""key"":""nobles"",""op"":""="",""value"":0.25}],""items"":[]}},{""key"":""origin_in_old_world"",""op"":""="",""value"":true},{""key"":""custom_tags"",""op"":""="",""value"":{""entries"":[],""items"":[""old_world_goods""]}},{""key"":""block_rgo_upgrade"",""op"":""="",""value"":true}],""items"":[]}",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt,197,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/goods/00_raw_materials.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":2,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":197,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
clay,gathering,raw_material,goods_clay,0.5,2.0,,true,,,,[],{},{},{},"{""entries"":[{""key"":""method"",""op"":""="",""value"":""gathering""},{""key"":""category"",""op"":""="",""value"":""raw_material""},{""key"":""color"",""op"":""="",""value"":""goods_clay""},{""key"":""default_market_price"",""op"":""="",""value"":0.5},{""key"":""transport_cost"",""op"":""="",""value"":2},{""key"":""base_production"",""op"":""="",""value"":0.02},{""key"":""ai_rgo_expansion_priority"",""op"":""="",""value"":0.025},{""key"":""block_rgo_upgrade"",""op"":""="",""value"":true}],""items"":[]}",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt,184,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/goods/00_raw_materials.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":19,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":184,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
sand,gathering,raw_material,goods_sand,0.5,2.0,,true,,,,[],{},{},{},"{""entries"":[{""key"":""method"",""op"":""="",""value"":""gathering""},{""key"":""category"",""op"":""="",""value"":""raw_material""},{""key"":""color"",""op"":""="",""value"":""goods_sand""},{""key"":""default_market_price"",""op"":""="",""value"":0.5},{""key"":""transport_cost"",""op"":""="",""value"":2},{""key"":""base_production"",""op"":""="",""value"":0.01},{""key"":""block_rgo_upgrade"",""op"":""="",""value"":true}],""items"":[]}",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt,212,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/goods/00_raw_materials.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":34,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":212,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
coal,mining,raw_material,goods_coal,2.0,2.0,,true,,,,[],"{""all"":0.0001}","{""tribesmen"":0.0,""upper"":25.0}",{},"{""entries"":[{""key"":""method"",""op"":""="",""value"":""mining""},{""key"":""category"",""op"":""="",""value"":""raw_material""},{""key"":""color"",""op"":""="",""value"":""goods_coal""},{""key"":""default_market_price"",""op"":""="",""value"":2},{""key"":""transport_cost"",""op"":""="",""value"":2},{""key"":""demand_add"",""op"":""="",""value"":{""entries"":[{""key"":""all"",""op"":""="",""value"":0.0001}],""items"":[]}},{""key"":""demand_multiply"",""op"":""="",""value"":{""entries"":[{""key"":""upper"",""op"":""="",""value"":25},{""key"":""tribesmen"",""op"":""="",""value"":0}],""items"":[]}},{""key"":""winter_demand_modifier"",""op"":""="",""value"":{""entries"":[{""key"":""none"",""op"":""="",""value"":0},{""key"":""mild"",""op"":""="",""value"":0.5},{""key"":""normal"",""op"":""="",""value"":1},{""key"":""severe"",""op"":""="",""value"":2}],""items"":[]}},{""key"":""topography_demand_modifier"",""op"":""="",""value"":{""entries"":[{""key"":""mountains"",""op"":""="",""value"":1.2}],""items"":[]}},{""key"":""block_rgo_upgrade"",""op"":""="",""value"":true}],""items"":[]}",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt,156,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/goods/00_raw_materials.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":45,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":156,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
iron,mining,raw_material,goods_iron,3.5,1.0,,true,,,,[],{},{},{},"{""entries"":[{""key"":""method"",""op"":""="",""value"":""mining""},{""key"":""category"",""op"":""="",""value"":""raw_material""},{""key"":""color"",""op"":""="",""value"":""goods_iron""},{""key"":""default_market_price"",""op"":""="",""value"":3},{""key"":""transport_cost"",""op"":""="",""value"":1},{""key"":""ai_rgo_size_importance"",""op"":""="",""value"":10},{""key"":""ai_rgo_expansion_priority"",""op"":""="",""value"":0.025},{""key"":""default_market_price"",""op"":""="",""value"":3.5},{""key"":""transport_cost"",""op"":""="",""value"":1},{""key"":""block_rgo_upgrade"",""op"":""="",""value"":true}],""items"":[]}",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt,159,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/goods/00_raw_materials.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":73,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":159,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
copper,mining,raw_material,goods_copper,3.0,1.0,,true,,,,[],{},{},{},"{""entries"":[{""key"":""method"",""op"":""="",""value"":""mining""},{""key"":""category"",""op"":""="",""value"":""raw_material""},{""key"":""color"",""op"":""="",""value"":""goods_copper""},{""key"":""default_market_price"",""op"":""="",""value"":3},{""key"":""transport_cost"",""op"":""="",""value"":1},{""key"":""block_rgo_upgrade"",""op"":""="",""value"":true}],""items"":[]}",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt,187,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/goods/00_raw_materials.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":86,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":187,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
goods_gold,mining,raw_material,goods_gold,9.0,2.0,,true,,,,[],"{""nobles"":0.025}",{},"{""all"":1.05}","{""entries"":[{""key"":""method"",""op"":""="",""value"":""mining""},{""key"":""category"",""op"":""="",""value"":""raw_material""},{""key"":""color"",""op"":""="",""value"":""goods_gold""},{""key"":""default_market_price"",""op"":""="",""value"":8},{""key"":""transport_cost"",""op"":""="",""value"":2},{""key"":""ai_rgo_size_importance"",""op"":""="",""value"":10},{""key"":""ai_rgo_expansion_priority"",""op"":""="",""value"":0.2},{""key"":""demand_add"",""op"":""="",""value"":{""entries"":[{""key"":""nobles"",""op"":""="",""value"":0.025}],""items"":[]}},{""key"":""wealth_impact_threshold"",""op"":""="",""value"":{""entries"":[{""key"":""all"",""op"":""="",""value"":1.05}],""items"":[]}},{""key"":""default_market_price"",""op"":""="",""value"":9},{""key"":""block_rgo_upgrade"",""op"":""="",""value"":true}],""items"":[]}",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt,193,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/goods/00_raw_materials.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":96,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":193,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
silver,mining,raw_material,goods_silver,6.0,2.0,,true,,,,[],"{""nobles"":0.025}",{},"{""all"":1.05}","{""entries"":[{""key"":""method"",""op"":""="",""value"":""mining""},{""key"":""category"",""op"":""="",""value"":""raw_material""},{""key"":""color"",""op"":""="",""value"":""goods_silver""},{""key"":""default_market_price"",""op"":""="",""value"":6},{""key"":""ai_rgo_size_importance"",""op"":""="",""value"":10},{""key"":""transport_cost"",""op"":""="",""value"":2},{""key"":""ai_rgo_expansion_priority"",""op"":""="",""value"":0.2},{""key"":""demand_add"",""op"":""="",""value"":{""entries"":[{""key"":""nobles"",""op"":""="",""value"":0.025}],""items"":[]}},{""key"":""wealth_impact_threshold"",""op"":""="",""value"":{""entries"":[{""key"":""all"",""op"":""="",""value"":1.05}],""items"":[]}},{""key"":""block_rgo_upgrade"",""op"":""="",""value"":true}],""items"":[]}",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt,178,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/goods/00_raw_materials.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":120,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":178,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
stone,mining,raw_material,goods_stone,1.0,2.0,,true,,,,[],{},{},{},"{""entries"":[{""key"":""method"",""op"":""="",""value"":""mining""},{""key"":""category"",""op"":""="",""value"":""raw_material""},{""key"":""color"",""op"":""="",""value"":""goods_stone""},{""key"":""default_market_price"",""op"":""="",""value"":1},{""key"":""base_production"",""op"":""="",""value"":0.012},{""key"":""transport_cost"",""op"":""="",""value"":2},{""key"":""ai_rgo_expansion_priority"",""op"":""="",""value"":0.025},{""key"":""block_rgo_upgrade"",""op"":""="",""value"":true}],""items"":[]}",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt,164,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/goods/00_raw_materials.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":143,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":164,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
tin,mining,raw_material,goods_tin,2.0,1.0,,true,,,,[],{},{},{},"{""entries"":[{""key"":""method"",""op"":""="",""value"":""mining""},{""key"":""category"",""op"":""="",""value"":""raw_material""},{""key"":""color"",""op"":""="",""value"":""goods_tin""},{""key"":""default_market_price"",""op"":""="",""value"":2},{""key"":""transport_cost"",""op"":""="",""value"":1},{""key"":""block_rgo_upgrade"",""op"":""="",""value"":true}],""items"":[]}",/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt,221,constructor,Prosper or Perish Constructor,TRY_INJECT,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/goods/00_raw_materials.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":156,""mod_name"":null,""mode"":""CREATE""},{""file"":""/home/jan/development/ProsperOrPerishConstructor/mod/Prosper or Perish (Population Growth & Food Rework)/in_game/common/goods/pp_goods_adjustments.txt"",""layer_id"":""constructor"",""layer_name"":""Prosper or Perish Constructor"",""line"":221,""mod_name"":""Prosper or Perish Constructor"",""mode"":""TRY_INJECT""}]"
