name,category,produced,output,input_goods,input_amounts,no_upkeep,required_pop_type,required_pop_amount,source_kind,building,production_method_group,production_method_group_index,production_efficiency_modifier,adjusted_output,output_value,input_cost,profit,profit_margin_percent,missing_price_goods,population_basis,output_per_population,source_file,source_line,source_layer,source_mod,source_mode,source_history
estate_building_input,building_maintenance,,,[],[],false,,,global,,,,0.0,,0.0,0.0,0.0,,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,1,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":1,""mod_name"":null,""mode"":""CREATE""}]"
incamisana_maintennace,building_maintenance,,,"[""stone""]",[0.02],false,,,global,,,,0.0,,0.0,0.02,-0.02,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,7,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":7,""mod_name"":null,""mode"":""CREATE""}]"
soldier_building_maintenance,building_maintenance,,,"[""firearms"",""leather"",""cloth"",""paper"",""weaponry""]","[0.5,0.5,0.1,0.2,0.5]",false,,,global,,,,0.0,,0.0,5.199999999999999,-5.199999999999999,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,18,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":18,""mod_name"":null,""mode"":""CREATE""}]"
early_soldier_building_maintenance,building_maintenance,,,"[""leather"",""cloth"",""paper"",""weaponry""]","[0.5,0.1,0.2,0.5]",false,,,global,,,,0.0,,0.0,3.7,-3.7,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,30,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":30,""mod_name"":null,""mode"":""CREATE""}]"
warrior_monks_training_grounds_maintenance,building_maintenance,,,"[""cloth"",""paper"",""weaponry""]","[0.01,0.05,0.05]",false,,,global,,,,0.0,,0.0,0.28,-0.28,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,39,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":39,""mod_name"":null,""mode"":""CREATE""}]"
nahuatl_warrior_building_maintenance,building_maintenance,,,"[""weaponry""]",[1.0],false,,,global,,,,0.0,,0.0,3.0,-3.0,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,47,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":47,""mod_name"":null,""mode"":""CREATE""}]"
cardinal_maintenance,building_maintenance,,,[],[],false,,,global,,,,0.0,,0.0,0.0,0.0,,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,53,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":53,""mod_name"":null,""mode"":""CREATE""}]"
monastery_maintenance,building_maintenance,,,"[""glass"",""paper"",""cloth"",""beer"",""beeswax"",""wine""]","[0.017,0.025,0.025,0.1,0.05,0.05]",false,,,global,,,,0.0,,0.0,0.576,-0.576,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,58,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":58,""mod_name"":null,""mode"":""CREATE""}]"
aqueduct_system_maintenance,building_maintenance,,,"[""lumber"",""masonry"",""tools""]","[0.2,0.15,0.15]",false,,,global,,,,0.0,,0.0,0.9875,-0.9875,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,69,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":69,""mod_name"":null,""mode"":""CREATE""}]"
hab_reformed_monastery_maintenance,building_maintenance,,,"[""glass"",""paper"",""cloth"",""beer"",""beeswax"",""wine""]","[0.017,0.025,0.025,0.15,0.05,0.05]",false,,,global,,,,0.0,,0.0,0.6759999999999999,-0.6759999999999999,-100.0,[],1.0,,/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt,76,vanilla,,CREATE,"[{""file"":""/mnt/c/Games/steamapps/common/Europa Universalis V/game/in_game/common/production_methods/unsorted_building_inputs.txt"",""layer_id"":""vanilla"",""layer_name"":""Vanilla"",""line"":76,""mod_name"":null,""mode"":""CREATE""}]"
