macro_region,metric,count,min,max,mean,median,std_dev,sum
australasia,maximum_infrastructure_capacity_people,492,0.0,1230095.4958762014,104760.0431848085,21334.369284150853,175010.1827404133,51541941.24692578
australasia,maximum_irrigation_capacity_people,492,0.0,892398.4089422552,53693.50170130495,0.0,127758.31688970428,26417202.837042037
australasia,maximum_land_improvement_capacity_people,492,0.0,1230095.4958762014,51066.54148350354,0.0,139606.657253272,25124738.40988374
australasia,maximum_population_capacity_development_100_people,492,7875.0,1398482.4328607265,164615.71931461687,89484.99652592867,199536.34184346383,80990933.9027915
central_africa,maximum_infrastructure_capacity_people,563,0.0,4237631.581074479,314021.564525803,116705.59336439299,463823.33809484955,176794140.8280271
central_africa,maximum_irrigation_capacity_people,563,0.0,788301.9084077016,38188.407490145066,16324.807452713625,69958.54816828173,21500073.41695167
central_africa,maximum_land_improvement_capacity_people,563,0.0,4206447.168762928,275833.1570356579,0.0,469380.791533669,155294067.4110754
central_africa,maximum_population_capacity_development_100_people,563,7875.0,4826960.528708789,405314.0025426829,182318.65578104104,520033.2457784928,228191783.43153048
central_asia,maximum_infrastructure_capacity_people,417,0.0,696084.4823827157,100591.11982635074,77732.00774103195,98861.20872607091,41946496.96758826
central_asia,maximum_irrigation_capacity_people,417,0.0,696084.4823827157,95358.7063220161,72281.44257855843,99678.45405138396,39764580.536280714
central_asia,maximum_land_improvement_capacity_people,417,0.0,326590.6065856324,5232.413504334649,0.0,25858.62701728709,2181916.4313075487
central_asia,maximum_population_capacity_development_100_people,417,7875.0,790970.0426805551,149254.038581623,122577.53218863635,116468.86937360355,62238934.08853679
east_africa,maximum_infrastructure_capacity_people,605,0.0,1634104.552529347,154648.49470940593,97688.84020121087,192263.61381414614,93562339.2991906
east_africa,maximum_irrigation_capacity_people,605,0.0,1634104.552529347,88988.28626012677,33934.30755833182,157465.43836330224,53837913.18737669
east_africa,maximum_land_improvement_capacity_people,605,0.0,1260679.169441356,65660.20844927918,0.0,144633.62638574254,39724426.1118139
east_africa,maximum_population_capacity_development_100_people,605,7875.0,1877742.6215955152,227801.04415138747,167774.98784499857,224194.43150518258,137819631.71158943
east_asia,maximum_infrastructure_capacity_people,3146,0.0,995421.9567095495,71470.3328490731,40491.40958417299,107251.60102592393,224845667.14318395
east_asia,maximum_irrigation_capacity_people,3146,0.0,823952.2135102004,12279.555134110358,141.53875456290206,49166.61450176787,38631480.45191119
east_asia,maximum_land_improvement_capacity_people,3146,0.0,993580.5460950818,59190.777714962736,23282.83999849824,101433.44027810126,186214186.69127277
east_asia,maximum_population_capacity_development_100_people,3146,7875.0,1127724.7012982431,129538.66037383406,84138.05071344055,143185.54179460352,407528625.53608197
eastern_europe,maximum_infrastructure_capacity_people,2517,0.0,436720.47026835755,40331.89140820677,9550.79904174985,57697.44207389158,101515370.67445645
eastern_europe,maximum_irrigation_capacity_people,2517,0.0,436720.47026835755,8449.695037620031,290.28063191654536,32993.95181489522,21267882.40968962
eastern_europe,maximum_land_improvement_capacity_people,2517,0.0,370666.96612998855,31882.196370586742,0.0,52288.46292774512,80247488.26476683
eastern_europe,maximum_population_capacity_development_100_people,2517,7875.0,906734.5429538997,90363.54469954848,60545.6223442629,88968.57064321949,227445042.00876352
middle_east,maximum_infrastructure_capacity_people,1262,0.0,714576.5714192151,85894.04354774398,44440.828068263916,103839.65608175406,108398282.9572529
middle_east,maximum_irrigation_capacity_people,1262,0.0,714576.5714192151,85591.74357467759,43874.10112756325,104002.78310482293,108016780.39124312
