global_rank,province,macro_region,location_count,maximum_irrigation_capacity_people,maximum_land_improvement_capacity_people,maximum_infrastructure_capacity_people,maximum_population_capacity_development_100_people
1,guenoa_province,south_america,9,174595.3247583008,21769317.52988728,21943912.85464558,25025526.961476278
2,upper_tocantins_province,south_america,11,362577.98585767555,14855901.787969552,15218479.773827227,17349164.74555563
3,ibera_province,south_america,11,279149.4810561609,12735123.767395027,13014273.248451188,14852557.404507587
4,upper_araguaia_province,south_america,10,173981.25193164457,11806781.198651122,11980762.450582767,13654982.756905612
5,bomokandi_province,central_africa,4,85842.70227385819,10593513.441226956,10679356.143500816,12226900.661438417
6,bena_province,central_africa,11,126276.90866134103,10202154.642779034,10328431.551440375,12148235.495370422
7,araguaia_province,south_america,11,347680.2861888135,9986635.504687335,10334315.790876148,11797105.264735667
8,kwango_province,central_africa,10,155038.27206242527,9338694.623221412,9493732.895283839,11175449.507194318
9,iowa_province,north_america,4,9573.677952926153,9455088.790216334,9464662.46816926,10773745.276690418
10,boali_province,central_africa,4,124110.71008029467,8237986.341077121,8362097.051157416,9604234.182552092
11,hia_ced_oodham_province,north_america,8,8127059.713030048,0.0,8127059.713030048,9360067.177158803
12,juruena_province,south_america,7,29139.877108102137,7991155.447005557,8020295.324113659,9129707.239627866
13,tacuru_province,south_america,10,273.5174276789169,7919584.571637458,7919858.089065136,9093215.35019828
14,bois_province,south_america,9,40329.29131946675,7639781.51398853,7680110.805307997,8797624.655971497
15,ji_parana_province,south_america,12,13540.120533185927,7509822.228311474,7523362.34884466,8612282.642450243
16,akimel_oodham_province,north_america,10,7079330.126290047,0.0,7079330.126290047,8608871.392076302
17,paraguay_province,south_america,15,62284.404317121705,7225151.102693652,7287435.507010773,8523489.94538712
18,kassai_province,central_africa,8,197126.92343087326,7031208.309821833,7228335.233252706,8416502.137409294
19,nodaway_province,north_america,3,4321.583303464855,7233825.802005296,7238147.38530876,8255415.808472355
20,peoria_province,north_america,5,9204.355672080852,7238649.475059096,7247853.830731177,8214585.559572574
21,meramec_province,north_america,7,41085.48091410231,7103238.737496004,7144324.218410106,8204989.74571137
22,apure_province,south_america,8,416762.8594645324,6696607.534036062,7113370.3935005935,8197166.692688167
23,upper_tapajos_province,south_america,6,67055.09464558914,7071927.705603393,7138982.800248981,8134855.650280105
24,luxico_province,central_africa,7,249642.53041185465,6619892.444625082,6869534.975036937,8026351.8469165545
25,cuiaba_province,south_america,7,28631.88215756108,6673499.109825946,6702130.991983508,7779522.365981447
26,mamore_province,south_america,11,118628.91113743054,6511200.349930994,6629829.261068424,7725182.9187019775
27,tocantins_province,south_america,9,207842.84050566834,6317024.836502094,6524867.677007762,7490101.136633732
28,ibicui_province,south_america,6,151697.20618183655,6264128.322979983,6415825.52916182,7333678.7203070475
29,matagalpa_province,north_america,7,25028.68022407014,6133267.6344177965,6158296.314641867,7232958.353972101
30,kadey_province,central_africa,4,41224.62952506807,6206524.059827669,6247748.689352736,7165967.275521828
31,suma_province,north_america,8,5935376.664800457,0.0,5935376.664800457,7164423.747900514
32,la_plata_province,south_america,12,744237.0405434463,5147861.269906227,5892098.310449673,6943610.599255882
33,tamaroa_province,north_america,5,39140.23225095779,5811527.683034304,5850667.915285261,6838501.404695919
34,djemah_province,central_africa,3,202296.4534242399,5690988.139557442,5893284.592981681,6761570.167104391
35,cahokia_province,north_america,5,38020.04753452229,5768904.249601057,5806924.297135579,6657664.8342775265
36,lukenie_province,central_africa,8,28975.256580474976,5618959.208792064,5647934.46537254,6600301.273544107
37,mayangna_province,north_america,9,175805.97525190463,5435341.867455947,5611147.842707851,6593791.323046332
38,cameroon_plateau_province,central_africa,6,110656.22507314332,5592259.3314315025,5702915.556504645,6589030.001067726
39,kordofan_province,east_africa,10,5565869.938588465,0.0,5565869.938588465,6528228.6809120225
40,yazoo_province,north_america,5,111958.97717016948,5612299.085010013,5724258.062180182,6487040.319952705
41,barinas_province,south_america,6,309171.1845158508,5233325.798638749,5542496.9831546,6449059.106048925
42,scioto_province,north_america,6,1615.6120051918306,5587819.8005055655,5589435.412510756,6398364.839074601
43,moingwena_province,north_america,3,7559.491675917396,5592531.2137211645,5600090.705397082,6358602.043571717
44,ulindi_province,east_africa,8,214303.26635691366,4552658.562406163,4766961.828763077,6305582.057358461
45,papamane_province,south_america,8,14605.503744070338,5449879.351082889,5464484.85482696,6272420.46168033
46,yopo_province,south_america,8,68687.07879186762,5153112.601040233,5221799.679832101,6182774.6398111135
47,bandundu_province,central_africa,7,165227.30714121886,4997173.423225021,5162400.730366239,6164325.821662019
48,tanabi_province,south_america,4,4784.81521138476,5422874.179000723,5427658.994212108,6160116.368488621
49,lomami_province,central_africa,9,152240.8753417706,4964340.449043412,5116581.324385183,6056528.989933331
50,mineami_province,north_america,4,10809.231794332598,5133004.443725259,5143813.675519592,5883540.384959541
51,kuskatan_province,north_america,8,40285.083598752535,5066818.635784871,5107103.719383623,5860241.684306576
52,natchitoches_province,north_america,5,54955.22322525416,4978380.793154471,5033336.016379725,5712003.018427191
53,north_lunda_province,central_africa,6,123323.05098435016,4707026.7413350465,4830349.7923193965,5571393.516359321
