expected_macro_region,tracking_role,province,global_rank,macro_region,location_count,maximum_irrigation_capacity_people,maximum_land_improvement_capacity_people,maximum_infrastructure_capacity_people,maximum_population_capacity_development_100_people
australasia,expected_high,umbindhamu_province,107,australasia,9,0.0,2930098.900634302,2930098.900634302,3839736.26321359
australasia,representative_middle,dadi_dadi_province,109,australasia,9,3045951.199795926,0.0,3045951.199795926,3796820.099770417
australasia,constrained_low,motu_maha_province,3818,australasia,1,0.0,0.0,0.0,7875.0
central_africa,expected_high,bomokandi_province,5,central_africa,4,85842.70227385819,10593513.441226956,10679356.143500816,12226900.661438417
central_africa,representative_middle,kinhasa_province,85,central_africa,9,140657.46137723353,3110028.873899016,3250686.3352762493,4474897.127185781
central_africa,constrained_low,kouilou_province,2487,central_africa,3,23731.46219201589,29096.501316103237,52827.96350811912,306931.458946634
central_asia,expected_high,khaqmar_province,2076,central_asia,6,197175.7591688678,27424.954550148614,224600.7137190164,465300.80293389346
central_asia,representative_middle,jizzakh_province,1435,central_asia,4,492097.3174181181,0.0,492097.3174181181,794359.4820953829
central_asia,constrained_low,wakhan_province,3708,central_asia,4,0.0,157.8185967323672,157.8185967323672,45177.545921323916
east_africa,expected_high,equatoria_province,1474,east_africa,8,229275.76680110313,192375.47285296518,421651.2396540683,776982.6446108269
east_africa,representative_middle,bale_province,2159,east_africa,4,123231.56364259603,145407.09606581094,268638.65970840695,428218.49217195786
east_africa,constrained_low,erg_selima_province,3726,east_africa,1,14848.029823430476,0.0,14848.029823430476,41454.03355135929
east_asia,expected_high,suzhou_province,123,east_asia,6,52362.45291714945,1155345.557749609,1207708.0106667583,3558046.5120001035
east_asia,representative_middle,shimousa_province,1777,east_asia,4,1842.61542006254,379485.9928823526,381328.6083024151,603369.684340217
east_asia,constrained_low,western_gobi_province,3418,east_asia,4,28515.838341809827,0.0,28515.838341809827,93955.31813453605
eastern_europe,expected_high,majar_province,1397,eastern_europe,9,254933.01288657682,0.0,254933.01288657682,815549.639497399
eastern_europe,representative_middle,kozelsk_province,1447,eastern_europe,5,1833.642196989521,606880.161963304,608713.8041602937,788303.0296803303
eastern_europe,constrained_low,vorkuta_province,3783,eastern_europe,3,0.0,0.0,0.0,23625.0
middle_east,expected_high,gorgan_province,1030,middle_east,9,662397.8089288553,0.0,662397.8089288553,1087197.5350449623
middle_east,representative_middle,hawran_province,983,middle_east,7,881498.9007722661,0.0,881498.9007722661,1130061.2633687994
middle_east,constrained_low,sudair_province,1589,middle_east,4,568475.7474933497,0.0,568475.7474933497,702535.2159300186
north_africa,expected_high,cairo_province,569,north_africa,5,531161.3764646562,0.0,531161.3764646562,1684306.5485227383
north_africa,representative_middle,guzzula_province,652,north_africa,10,1065487.548214667,0.0,1065487.548214667,1538423.4917415003
north_africa,constrained_low,tih_province,1952,north_africa,5,370087.25728218915,0.0,370087.25728218915,519848.1644424628
north_america,expected_high,iowa_province,9,north_america,4,9573.677952926153,9455088.790216334,9464662.46816926,10773745.276690418
north_america,representative_middle,south_ktunaxa_province,692,north_america,6,4816.344260834257,1245673.8803874513,1250490.2246482857,1479926.5027293211
north_america,constrained_low,malemiut_province,3709,north_america,5,0.0,0.0,0.0,45000.0
north_asia,expected_high,bayanaul_province,1462,north_asia,6,497717.0558568157,0.0,497717.0558568157,781556.6878389176
north_asia,representative_middle,olyuben_province,3652,north_asia,7,0.0,0.0,0.0,55125.0
north_asia,constrained_low,central_omok_province,3532,north_asia,6,0.0,0.0,0.0,75375.0
pacific_islands,expected_high,kanaky_province,296,pacific_islands,10,0.0,1466208.3085596205,1466208.3085596205,2287359.347129573
pacific_islands,representative_middle,niue_province,3739,pacific_islands,1,0.0,0.0,0.0,39375.0
pacific_islands,constrained_low,kuki_airani_province,3358,pacific_islands,2,0.0,0.0,0.0,103500.0
south_america,expected_high,rangkullmapu_province,1979,south_america,10,321539.67583992064,0.0,321539.67583992064,506857.1353199107
south_america,representative_middle,tapuy_province,412,south_america,6,9688.640057143271,1587344.4413698798,1597033.081427023,1954162.216605401
