ranking_group,location_tag,province,macro_region,area_km2,maximum_irrigation_capacity_people,maximum_land_improvement_capacity_people,maximum_infrastructure_capacity_people,maximum_population_capacity_development_100_people,validation_implausible_leader,validation_large_location_artifact,validation_permafrost_or_wasteland,validation_physically_unsupported_dryland
top,uele_ca,bomokandi_province,central_africa,58240.376615440655,31184.41231155078,4206447.168762928,4237631.581074479,4290631.581074479,true,true,false,false
top,charrua,guenoa_province,south_america,15801.966796013778,30481.0313689957,3358528.97935129,3389010.0107202856,3442010.0107202856,true,false,false,false
top,yi,guenoa_province,south_america,17891.784397572705,16524.639185247965,3351153.647724802,3367678.28691005,3420678.28691005,true,false,false,false
top,yacegua,guenoa_province,south_america,18343.75877916245,36659.52418842781,3194321.4799424326,3230981.0041308603,3268981.0041308603,true,false,false,false
top,arachan,guenoa_province,south_america,19965.030766505857,0.0,3166224.020598992,3166224.020598992,3204224.020598992,true,false,false,false
top,kotto,djemah_province,central_africa,61410.152001931274,148263.0267958091,3001208.53530848,3149471.562104289,3202471.562104289,true,true,false,false
top,isiro,bomokandi_province,central_africa,46787.26213924398,20735.22495052407,2948846.538538282,2969581.763488806,3022581.763488806,true,true,false,false
top,bosobolo,boali_province,central_africa,41401.404345713214,41545.69102602174,2925396.8805916235,2966942.571617645,3019942.571617645,true,true,false,false
top,guatacuba,upper_tocantins_province,south_america,27978.80585648537,15485.092317497087,2957663.8399831755,2973148.9323006724,3011148.9323006724,true,true,false,false
top,bangui,boali_province,central_africa,39384.39592224637,66870.58177001549,2725691.5942231184,2792562.175993134,2845562.175993134,true,true,false,false
top,pahotcha,iowa_province,north_america,13306.128566909001,2492.164825724229,2654749.1854963223,2657241.350322047,2695241.350322047,false,false,false,false
top,nodaway,nodaway_province,north_america,11210.889868890756,100.14493713488326,2570815.1199838794,2570915.264921014,2615915.264921014,false,false,false,false
top,kiosaquay,iowa_province,north_america,11899.51465154753,2742.33483784882,2595578.8570140745,2598321.1918519232,2615321.1918519232,false,false,false,false
top,arraias,upper_tocantins_province,south_america,27405.2235030956,27770.49937557926,2517032.790381523,2544803.2897571023,2582803.2897571023,true,true,false,false
top,iowa,iowa_province,north_america,13941.128245963571,1187.2581427600826,2520371.843457293,2521559.1016000533,2559559.1016000533,false,false,false,false
top,ita_cuara,guenoa_province,south_america,15384.308361063062,21793.88468666918,2492054.656594628,2513848.5412812973,2551848.5412812973,true,false,false,false
top,nudarcha,nodaway_province,north_america,12351.55793265199,4221.438366329971,2435562.29954659,2439783.73791292,2477783.73791292,false,false,false,false
top,dolkabaya,guwevkabaya_province,north_america,16046.05519449923,2341333.451226292,0.0,2341333.451226292,2431333.451226292,false,false,false,false
