macro_region,metric,count,min,max,mean,median,std_dev,sum
australasia,maximum_infrastructure_capacity_people,492,0.0,1230095.4958762014,104760.0431848085,21334.369284150853,175010.1827404133,51541941.24692578
australasia,maximum_irrigation_capacity_people,492,0.0,892398.4089422552,53693.50170130495,0.0,127758.31688970428,26417202.837042037
australasia,maximum_land_improvement_capacity_people,492,0.0,1230095.4958762014,51066.54148350354,0.0,139606.657253272,25124738.40988374
australasia,maximum_population_capacity_development_100_people,492,7000.0,1243095.4958762014,146325.083835215,79542.21913415882,177365.63719419003,71991941.24692577
central_africa,maximum_infrastructure_capacity_people,563,0.0,4237631.581074479,314021.564525803,116705.59336439299,463823.33809484955,176794140.8280271
central_africa,maximum_irrigation_capacity_people,563,0.0,788301.9084077016,38188.407490145066,16324.807452713625,69958.54816828173,21500073.41695167
central_africa,maximum_land_improvement_capacity_people,563,0.0,4206447.168762928,275833.1570356579,0.0,469380.791533669,155294067.4110754
central_africa,maximum_population_capacity_development_100_people,563,7000.0,4290631.581074479,360279.11337127374,162061.02736092536,462251.7740253268,202837140.8280271
central_asia,maximum_infrastructure_capacity_people,417,0.0,696084.4823827157,100591.11982635074,77732.00774103195,98861.20872607091,41946496.96758826
central_asia,maximum_irrigation_capacity_people,417,0.0,696084.4823827157,95358.7063220161,72281.44257855843,99678.45405138396,39764580.536280714
central_asia,maximum_land_improvement_capacity_people,417,0.0,326590.6065856324,5232.413504334649,0.0,25858.62701728709,2181916.4313075487
central_asia,maximum_population_capacity_development_100_people,417,7000.0,703084.4823827157,132670.25651699823,108957.80638989898,103527.8838876476,55323496.96758826
east_africa,maximum_infrastructure_capacity_people,605,0.0,1634104.552529347,154648.49470940593,97688.84020121087,192263.61381414614,93562339.2991906
east_africa,maximum_irrigation_capacity_people,605,0.0,1634104.552529347,88988.28626012677,33934.30755833182,157465.43836330224,53837913.18737669
east_africa,maximum_land_improvement_capacity_people,605,0.0,1260679.169441356,65660.20844927918,0.0,144633.62638574254,39724426.1118139
east_africa,maximum_population_capacity_development_100_people,605,7000.0,1669104.552529347,202489.81702345554,149133.32252888763,199283.93911571786,122506339.2991906
east_asia,maximum_infrastructure_capacity_people,3146,0.0,995421.9567095495,71470.3328490731,40491.40958417299,107251.60102592393,224845667.14318395
east_asia,maximum_irrigation_capacity_people,3146,0.0,823952.2135102004,12279.555134110358,141.53875456290206,49166.61450176787,38631480.45191119
east_asia,maximum_land_improvement_capacity_people,3146,0.0,993580.5460950818,59190.777714962736,23282.83999849824,101433.44027810126,186214186.69127277
east_asia,maximum_population_capacity_development_100_people,3146,7000.0,1002421.9567095495,115145.47588785249,74789.37841194715,127276.03715075871,362247667.14318395
eastern_europe,maximum_infrastructure_capacity_people,2517,0.0,436720.47026835755,40331.89140820677,9550.79904174985,57697.44207389158,101515370.67445645
eastern_europe,maximum_irrigation_capacity_people,2517,0.0,436720.47026835755,8449.695037620031,290.28063191654536,32993.95181489522,21267882.40968962
eastern_europe,maximum_land_improvement_capacity_people,2517,0.0,370666.96612998855,31882.196370586742,0.0,52288.46292774512,80247488.26476683
eastern_europe,maximum_population_capacity_development_100_people,2517,7000.0,805986.2604034664,80323.15084404309,53818.33097267813,79083.17390508398,202173370.67445645
middle_east,maximum_infrastructure_capacity_people,1262,0.0,714576.5714192151,85894.04354774398,44440.828068263916,103839.65608175406,108398282.9572529
middle_east,maximum_irrigation_capacity_people,1262,0.0,714576.5714192151,85591.74357467759,43874.10112756325,104002.78310482293,108016780.39124312
