global_rank,province,macro_region,location_count,maximum_irrigation_capacity_people,maximum_land_improvement_capacity_people,maximum_infrastructure_capacity_people,maximum_population_capacity_development_100_people
1,guenoa_province,south_america,9,174595.3247583008,21769317.52988728,21943912.85464558,22244912.85464558
2,upper_tocantins_province,south_america,11,362577.98585767555,14855901.787969552,15218479.773827227,15421479.773827227
3,ibera_province,south_america,11,279149.4810561609,12735123.767395027,13014273.248451188,13202273.248451188
4,upper_araguaia_province,south_america,10,173981.25193164457,11806781.198651122,11980762.450582767,12137762.450582767
5,bomokandi_province,central_africa,4,85842.70227385819,10593513.441226956,10679356.143500816,10868356.143500816
6,bena_province,central_africa,11,126276.90866134103,10202154.642779034,10328431.551440375,10798431.551440375
7,araguaia_province,south_america,11,347680.2861888135,9986635.504687335,10334315.790876148,10486315.790876148
8,kwango_province,central_africa,10,155038.27206242527,9338694.623221412,9493732.895283839,9933732.895283839
9,iowa_province,north_america,4,9573.677952926153,9455088.790216334,9464662.46816926,9576662.46816926
10,boali_province,central_africa,4,124110.71008029467,8237986.341077121,8362097.051157416,8537097.051157415
11,hia_ced_oodham_province,north_america,8,8127059.713030048,0.0,8127059.713030048,8320059.713030048
12,juruena_province,south_america,7,29139.877108102137,7991155.447005557,8020295.324113659,8115295.324113659
13,tacuru_province,south_america,10,273.5174276789169,7919584.571637458,7919858.089065136,8082858.089065136
14,bois_province,south_america,9,40329.29131946675,7639781.51398853,7680110.805307997,7820110.805307997
15,ji_parana_province,south_america,12,13540.120533185927,7509822.228311474,7523362.34884466,7655362.34884466
16,akimel_oodham_province,north_america,10,7079330.126290047,0.0,7079330.126290047,7652330.126290047
17,paraguay_province,south_america,15,62284.404317121705,7225151.102693652,7287435.507010773,7576435.507010773
18,kassai_province,central_africa,8,197126.92343087326,7031208.309821833,7228335.233252706,7481335.233252706
19,nodaway_province,north_america,3,4321.583303464855,7233825.802005296,7238147.38530876,7338147.38530876
20,peoria_province,north_america,5,9204.355672080852,7238649.475059096,7247853.830731177,7301853.830731177
21,meramec_province,north_america,7,41085.48091410231,7103238.737496004,7144324.218410106,7293324.218410106
22,apure_province,south_america,8,416762.8594645324,6696607.534036062,7113370.3935005935,7286370.3935005935
23,upper_tapajos_province,south_america,6,67055.09464558914,7071927.705603393,7138982.800248981,7230982.800248981
24,luxico_province,central_africa,7,249642.53041185465,6619892.444625082,6869534.975036937,7134534.975036937
25,cuiaba_province,south_america,7,28631.88215756108,6673499.109825946,6702130.991983508,6915130.991983508
26,mamore_province,south_america,11,118628.91113743054,6511200.349930994,6629829.261068424,6866829.261068424
27,tocantins_province,south_america,9,207842.84050566834,6317024.836502094,6524867.677007762,6657867.677007762
28,ibicui_province,south_america,6,151697.20618183655,6264128.322979983,6415825.52916182,6518825.52916182
29,matagalpa_province,north_america,7,25028.68022407014,6133267.6344177965,6158296.314641867,6429296.314641867
30,kadey_province,central_africa,4,41224.62952506807,6206524.059827669,6247748.689352736,6369748.689352736
31,suma_province,north_america,8,5935376.664800457,0.0,5935376.664800457,6368376.664800457
32,la_plata_province,south_america,12,744237.0405434463,5147861.269906227,5892098.310449673,6172098.310449673
33,tamaroa_province,north_america,5,39140.23225095779,5811527.683034304,5850667.915285261,6078667.915285261
34,djemah_province,central_africa,3,202296.4534242399,5690988.139557442,5893284.592981681,6010284.592981681
35,cahokia_province,north_america,5,38020.04753452229,5768904.249601057,5806924.297135579,5917924.297135579
